customer_id,name,email,age,gender,city,state,country,segment,signup_date
1,Cust_1,cust1@mail.com,65,F,Mumbai,MH,India,Premium,2020-02-21
2,Cust_2,cust2@mail.com,65,M,Chennai,TN,India,Regular,2020-10-12
3,Cust_3,cust3@mail.com,20,M,Lucknow,UP,India,Regular,2022-05-14
4,Cust_4,cust4@mail.com,50,M,Chennai,TN,India,Premium,2021-04-21
5,Cust_5,cust5@mail.com,32,F,Jaipur,RJ,India,Gold,2022-05-09
6,Cust_6,cust6@mail.com,69,M,Bengaluru,KA,India,Platinum,2024-04-03
7,Cust_7,cust7@mail.com,27,M,Pune,MH,India,Gold,2021-07-23
8,Cust_8,cust8@mail.com,42,M,Mumbai,MH,India,Gold,2020-07-08
9,Cust_9,cust9@mail.com,34,M,Pune,MH,India,Platinum,2023-05-21
10,Cust_10,cust10@mail.com,42,M,Jaipur,RJ,India,Gold,2020-09-12
11,Cust_11,cust11@mail.com,41,M,Lucknow,UP,India,Regular,2024-10-30
12,Cust_12,cust12@mail.com,32,F,Bengaluru,KA,India,Regular,2023-09-16
13,Cust_13,cust13@mail.com,24,F,Chennai,TN,India,Gold,2024-11-09
14,Cust_14,cust14@mail.com,41,M,Ahmedabad,GJ,India,Gold,2023-07-25
15,Cust_15,cust15@mail.com,60,F,Pune,MH,India,Regular,2021-03-05
16,Cust_16,cust16@mail.com,28,M,Lucknow,UP,India,Premium,2023-07-24
17,Cust_17,cust17@mail.com,35,M,Ahmedabad,GJ,India,Gold,2022-02-16
18,Cust_18,cust18@mail.com,70,M,Bengaluru,KA,India,Gold,2021-04-14
19,Cust_19,cust19@mail.com,22,M,Kolkata,WB,India,Gold,2021-07-02
20,Cust_20,cust20@mail.com,49,F,Chennai,TN,India,Platinum,2023-09-04
21,Cust_21,cust21@mail.com,26,M,Delhi,DL,India,Gold,2021-06-26
22,Cust_22,cust22@mail.com,55,F,Lucknow,UP,India,Gold,2022-05-27
23,Cust_23,cust23@mail.com,50,F,Chennai,TN,India,Regular,2020-10-10
24,Cust_24,cust24@mail.com,25,M,Bengaluru,KA,India,Premium,2024-10-29
25,Cust_25,cust25@mail.com,22,F,Kolkata,WB,India,Platinum,2023-05-06
26,Cust_26,cust26@mail.com,51,F,Lucknow,UP,India,Regular,2022-08-16
27,Cust_27,cust27@mail.com,52,F,Mumbai,MH,India,Gold,2023-10-28
28,Cust_28,cust28@mail.com,45,M,Mumbai,MH,India,Platinum,2021-08-24
29,Cust_29,cust29@mail.com,64,F,Bengaluru,KA,India,Premium,2024-01-18
30,Cust_30,cust30@mail.com,58,F,Jaipur,RJ,India,Premium,2020-08-05
31,Cust_31,cust31@mail.com,66,M,Delhi,DL,India,Regular,2022-02-04
32,Cust_32,cust32@mail.com,49,M,Lucknow,UP,India,Regular,2021-10-25
33,Cust_33,cust33@mail.com,69,F,Pune,MH,India,Premium,2024-12-04
34,Cust_34,cust34@mail.com,54,M,Bengaluru,KA,India,Regular,2021-05-08
35,Cust_35,cust35@mail.com,22,M,Ahmedabad,GJ,India,Premium,2024-07-29
36,Cust_36,cust36@mail.com,28,F,Ahmedabad,GJ,India,Platinum,2023-01-30
37,Cust_37,cust37@mail.com,66,M,Chennai,TN,India,Gold,2023-01-09
38,Cust_38,cust38@mail.com,59,F,Kolkata,WB,India,Platinum,2023-10-07
39,Cust_39,cust39@mail.com,25,M,Jaipur,RJ,India,Premium,2022-07-13
40,Cust_40,cust40@mail.com,19,M,Mumbai,MH,India,Premium,2021-11-23
41,Cust_41,cust41@mail.com,63,M,Bengaluru,KA,India,Premium,2020-05-25
42,Cust_42,cust42@mail.com,39,M,Mumbai,MH,India,Premium,2020-03-05
43,Cust_43,cust43@mail.com,49,M,Hyderabad,TG,India,Premium,2023-10-02
44,Cust_44,cust44@mail.com,48,M,Lucknow,UP,India,Platinum,2023-03-26
45,Cust_45,cust45@mail.com,24,M,Kolkata,WB,India,Platinum,2021-01-24
46,Cust_46,cust46@mail.com,44,F,Pune,MH,India,Regular,2022-05-17
47,Cust_47,cust47@mail.com,43,F,Mumbai,MH,India,Regular,2020-05-04
